Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Arterial Flow,B,U,4383,5.04,766,7.04,2864,60.7%,57.2%,457,,718,61.6%,1175,59.0%,1691,55.9%,3.0pp
Waterknot,U,C,12046,4.75,2635,6.16,13205,81.0%,57.1%,2125,56.6%,3362,59.3%,5487,58.2%,7741,56.3%,1.9pp
Golden Demise,B,U,3289,3.9,894,4.63,4146,74.3%,57.0%,686,56.6%,1112,62.0%,1798,59.9%,2350,54.9%,5.0pp
Oathsworn Vampire,B,U,3845,4.27,836,5.79,4273,79.6%,57.0%,751,59.8%,1061,52.8%,1812,55.7%,2462,58.0%,-2.3pp
Sanguine Glorifier,W,C,14035,5.73,2331,7.91,10379,71.0%,57.0%,1688,57.8%,2687,58.0%,4375,57.9%,6007,56.3%,1.7pp
Impale,B,C,8783,3.43,2535,4.11,13882,87.9%,56.9%,2199,55.4%,3597,59.4%,5796,57.9%,8096,56.2%,1.7pp
Swift Warden,G,U,3250,3.73,903,4.46,4639,82.4%,56.9%,779,60.3%,1137,58.4%,1916,59.2%,2740,55.3%,3.9pp
Daring Buccaneer,R,U,4050,5.12,710,6.7,2953,67.0%,56.8%,551,60.6%,598,54.2%,1149,57.3%,1804,56.4%,0.8pp
Snubhorn Sentry,W,C,14367,5.83,2619,7.82,11510,70.0%,56.6%,2019,56.5%,2833,59.2%,4852,58.0%,6666,55.6%,2.4pp
Spire Winder,U,C,14374,5.92,2729,7.9,10821,63.2%,56.6%,1816,55.5%,2862,59.1%,4678,57.7%,6179,55.8%,1.9pp
Storm Fleet Sprinter,UR,U,3885,4.71,765,5.99,2690,58.2%,56.6%,484,,572,55.9%,1056,56.5%,1635,56.6%,-0.1pp
Dusk Charger,B,C,15588,6.71,2584,9.25,8033,49.9%,56.5%,1326,59.7%,2094,58.0%,3420,58.7%,4630,54.7%,3.9pp
Jungleborn Pioneer,G,C,11830,4.66,2686,5.88,13575,81.8%,56.4%,2339,57.5%,3446,58.4%,5785,58.1%,7800,55.2%,2.9pp
Recover,B,C,15077,6.41,2389,9.02,8158,55.0%,56.4%,1303,54.7%,2130,59.8%,3433,57.9%,4743,55.5%,2.4pp
Luminous Bonds,W,C,9455,3.57,2570,4.44,14358,89.6%,56.4%,2396,53.7%,3521,59.7%,5917,57.3%,8450,55.8%,1.5pp
Giltgrove Stalker,G,C,13898,5.79,2317,7.81,10458,73.4%,56.4%,1904,55.9%,2428,56.7%,4332,56.3%,6135,56.5%,-0.1pp
Expel from Orazca,U,U,3912,4.39,939,5.6,4623,78.0%,56.3%,722,58.2%,1175,59.2%,1897,58.8%,2729,54.5%,4.3pp
Pride of Conquerors,W,U,4423,5.14,807,6.97,3207,63.5%,56.3%,490,,806,58.9%,1296,58.3%,1914,54.9%,3.5pp
Negate,U,C,16055,7.64,1691,11.6,1403,13.5%,56.1%,224,,355,,579,55.3%,830,56.5%,-1.2pp
Secrets of the Golden City,U,C,14452,5.94,2632,8.15,10204,62.5%,56.0%,1679,54.3%,2642,58.9%,4321,57.1%,5914,55.1%,2.0pp
Paladin of Atonement,W,R,602,2.35,244,,1230,83.7%,55.9%,202,,323,,525,59.0%,706,53.7%,5.4pp
Tilonalli's Summoner,R,R,721,2.68,217,,880,67.1%,55.9%,151,,218,,369,,511,54.0%,
Vona's Hunger,B,R,702,2.45,267,,1313,79.7%,55.9%,207,,353,,560,58.2%,757,54.2%,4.1pp
Radiant Destiny,W,R,522,1.86,265,,1356,84.7%,55.9%,226,,327,,553,58.8%,806,54.0%,4.8pp
Jadecraft Artisan,G,C,15343,6.87,2034,9.65,5579,44.9%,55.8%,886,51.2%,1332,56.8%,2218,54.6%,3379,56.6%,-2.1pp
"Elenda, the Dusk Rose",WB,M,219,,129,,637,79.5%,55.7%,111,,185,,296,,344,,
Dire Fleet Daredevil,R,R,519,2.03,264,,1293,78.7%,55.6%,222,,312,,534,54.3%,760,56.4%,-2.1pp
Vampire Revenant,B,C,15369,6.78,2150,9.76,6592,49.3%,55.5%,1085,54.2%,1735,56.5%,2820,55.6%,3785,55.4%,0.2pp
Deeproot Elite,G,R,660,2.5,278,,1297,79.4%,55.5%,250,,325,,575,56.3%,724,54.8%,1.5pp
Voracious Vampire,B,C,14478,5.99,2257,8.47,8769,62.7%,55.5%,1481,52.9%,2179,55.9%,3660,54.7%,5109,56.1%,-1.4pp
Jungle Creeper,BG,U,5229,6.38,825,9.2,1337,26.3%,55.5%,246,,360,,606,57.3%,733,54.0%,3.2pp
Evolving Wilds,,C,12650,4.48,2513,6.22,13668,88.9%,55.5%,2516,57.1%,3330,55.6%,5846,56.2%,7832,54.9%,1.3pp
"Angrath, the Flame-Chained",BR,M,189,,148,,783,87.4%,55.4%,140,,189,,329,,454,,
Aquatic Incursion,U,U,4169,5.09,678,7.18,2045,49.6%,55.4%,335,,532,58.8%,867,55.7%,1191,55.3%,0.4pp
Sailor of Means,U,C,13491,5.38,2929,6.97,12455,68.7%,55.3%,2144,54.3%,3382,56.9%,5526,55.9%,6940,54.9%,1.0pp
Riverwise Augur,U,U,3913,4.63,757,6.05,2962,65.5%,55.3%,484,,812,55.2%,1296,54.6%,1679,55.6%,-1.0pp
"Etali, Primal Storm",R,R,390,,279,,1397,80.6%,55.3%,263,,364,,627,59.8%,775,51.6%,8.2pp
Slippery Scoundrel,U,U,3776,4.28,883,5.48,4061,74.3%,55.2%,668,54.6%,1023,58.8%,1691,57.2%,2380,53.7%,3.4pp
Golden Guardian,,R,543,1.95,247,,1281,83.7%,55.2%,202,,330,,532,60.7%,756,51.2%,9.5pp
Sun Sentinel,W,C,15387,6.4,2271,9.22,7061,50.4%,55.2%,1213,57.2%,1711,52.6%,2924,54.5%,4141,55.6%,-1.1pp
Storm Fleet Swashbuckler,R,U,3488,4.0,816,5.02,3883,78.2%,55.2%,683,55.1%,849,55.6%,1532,55.4%,2355,55.0%,0.4pp
Swaggering Corsair,R,C,15053,6.6,2081,9.38,6773,54.0%,55.2%,1100,54.0%,1473,53.4%,2573,53.7%,4201,56.1%,-2.4pp
Curious Obsession,U,U,2702,3.11,845,3.58,4428,85.3%,55.1%,738,56.9%,1044,56.9%,1782,56.9%,2657,53.9%,3.0pp
Baffling End,W,U,2598,2.92,979,3.34,5044,86.5%,55.1%,865,57.5%,1270,57.2%,2135,57.3%,2912,53.5%,3.8pp
Siren Reaver,U,U,2977,3.54,971,4.08,5099,86.2%,55.1%,888,55.3%,1238,55.7%,2126,55.5%,2988,54.7%,0.8pp
Thrashing Brontodon,G,U,2783,3.17,764,3.83,3777,81.6%,55.0%,671,59.6%,849,54.8%,1520,56.9%,2261,53.7%,3.2pp
Everdawn Champion,W,U,3385,4.08,658,5.29,2697,67.3%,54.9%,428,,663,57.0%,1091,53.3%,1612,55.9%,-2.6pp
Aggressive Urge,G,C,15537,6.8,1874,9.95,4920,42.9%,54.8%,767,51.2%,1137,56.8%,1904,54.6%,3027,55.0%,-0.5pp
Needletooth Raptor,R,U,2796,3.38,692,3.98,3260,77.7%,54.8%,548,55.3%,891,60.0%,1439,58.2%,1824,52.0%,6.3pp
Fathom Fleet Boarder,B,C,15217,6.43,2371,8.99,7208,49.1%,54.7%,1180,50.4%,1844,53.8%,3024,52.5%,4185,56.4%,-3.9pp
Woodland Stream,,U,4715,5.33,871,7.47,3203,60.9%,54.7%,603,53.4%,762,52.1%,1365,52.7%,1848,56.2%,-3.5pp
Bombard,R,C,8950,3.49,2470,4.17,12552,83.6%,54.6%,2137,54.7%,2768,56.3%,4905,55.6%,7651,54.0%,1.6pp
Deadeye Brawler,UB,U,3468,4.06,864,4.97,3280,62.3%,54.6%,574,55.1%,948,56.6%,1522,56.0%,1769,53.3%,2.7pp
Goblin Trailblazer,R,C,13811,5.64,2399,7.46,10815,73.8%,54.6%,1976,56.9%,2310,51.3%,4286,53.9%,6534,55.0%,-1.1pp
Reckless Rage,R,U,3091,3.57,690,4.37,3053,72.7%,54.6%,494,,664,58.4%,1158,58.4%,1895,52.2%,6.1pp
Grasping Scoundrel,B,C,15492,6.95,2001,10.11,4618,37.1%,54.5%,811,54.4%,1018,52.9%,1829,53.6%,2789,55.2%,-1.6pp
Dinosaur Hunter,B,C,14989,6.27,2243,8.99,7440,53.9%,54.5%,1279,53.7%,1901,55.4%,3180,54.7%,4265,54.4%,0.3pp
Forerunner of the Empire,R,U,3074,3.69,642,4.57,2471,64.7%,54.4%,409,,542,59.6%,951,59.5%,1522,51.2%,8.3pp
Dire Fleet Neckbreaker,BR,U,3655,4.46,733,5.67,2723,61.2%,54.4%,435,,752,56.5%,1187,57.4%,1536,52.2%,5.2pp
Crested Herdcaller,G,U,2479,3.02,787,3.56,3874,82.1%,54.4%,601,55.6%,939,58.4%,1540,57.3%,2339,52.6%,4.7pp
Sea Legs,U,C,16670,7.98,2227,11.18,2201,15.9%,54.3%,362,,564,53.2%,926,51.8%,1280,55.9%,-4.1pp
Strength of the Pack,G,U,4184,4.93,661,6.78,2367,58.2%,54.3%,374,,532,57.3%,906,55.4%,1479,53.8%,1.6pp
Seafloor Oracle,U,R,694,2.65,283,,1301,76.6%,54.3%,236,,388,,624,55.9%,683,53.0%,2.9pp
Trapjaw Tyrant,W,M,207,,160,,852,87.6%,54.2%,141,,228,,369,,484,,
Captain's Hook,,R,734,2.43,331,,1748,88.0%,54.1%,315,,414,,729,54.9%,1023,53.6%,1.3pp
Divine Verdict,W,C,13723,5.49,1739,8.2,5537,51.8%,53.9%,894,53.2%,1323,55.0%,2217,54.3%,3321,53.7%,0.6pp
Mausoleum Harpy,B,U,4205,4.74,592,6.75,2114,57.7%,53.9%,326,,546,54.8%,872,53.6%,1246,54.1%,-0.5pp
"Zacama, Primal Calamity",WRG,M,276,,121,,512,66.8%,53.9%,71,,130,,201,,314,,
Sun-Crested Pterodon,W,C,15005,6.22,2337,8.88,7190,50.1%,53.9%,1112,52.9%,1858,57.2%,2970,55.6%,4232,52.7%,2.8pp
Soul of the Rapids,U,C,15937,6.95,2325,9.8,5310,37.3%,53.8%,813,54.4%,1413,55.8%,2226,55.3%,3099,52.7%,2.6pp
Buccaneer's Bravado,R,C,15273,6.59,1885,9.46,5938,52.3%,53.8%,958,52.5%,1309,53.7%,2267,53.2%,3673,54.2%,-1.0pp
Jadelight Ranger,G,R,524,1.95,271,,1357,84.9%,53.7%,261,,343,,604,56.0%,755,52.1%,3.9pp
"Zetalpa, Primal Dawn",W,R,498,,255,,1230,80.3%,53.7%,169,,328,,497,,733,49.7%,
Hornswoggle,U,U,4660,5.42,677,7.7,1747,42.3%,53.6%,295,,474,,769,55.9%,983,51.9%,4.0pp
Forerunner of the Coalition,B,U,3458,3.99,703,5.14,2707,63.6%,53.4%,456,,799,54.9%,1255,54.0%,1455,53.0%,1.0pp
Relentless Raptor,WR,U,4132,4.97,637,7.0,1937,50.6%,53.4%,353,,416,,769,55.0%,1169,52.4%,2.7pp
Brazen Freebooter,R,C,15342,6.7,1983,9.65,4790,40.4%,53.3%,806,55.5%,1126,54.3%,1932,54.8%,2862,52.4%,2.3pp
Wayward Swordtooth,G,R,571,2.32,213,,949,71.5%,53.3%,153,,240,,393,,559,51.7%,
Fanatical Firebrand,R,C,14240,5.97,2089,8.37,7343,58.4%,53.3%,1360,56.8%,1638,51.8%,2998,54.1%,4347,52.8%,1.3pp
"Azor, the Lawbringer",WU,M,277,,154,,617,67.7%,53.2%,114,,142,,256,,365,,
See Red,R,U,4485,5.11,670,7.05,2269,58.2%,53.2%,356,,509,55.2%,865,53.5%,1404,52.9%,0.6pp
Stampeding Horncrest,R,C,15997,7.27,1662,10.9,2584,25.8%,53.1%,384,,565,53.1%,949,53.2%,1635,53.1%,0.1pp
Mutiny,R,C,14172,6.03,1601,8.87,4478,46.7%,53.0%,696,54.3%,993,54.5%,1689,54.4%,2789,52.2%,2.2pp
Raptor Companion,W,C,15152,6.28,2174,8.98,6243,47.5%,53.0%,1112,53.2%,1462,52.3%,2574,52.7%,3671,53.2%,-0.5pp
River Darter,U,C,15881,7.33,2001,10.72,2664,21.8%,53.0%,464,,662,53.3%,1126,52.1%,1550,53.6%,-1.5pp
Hunt the Weak,G,C,11918,4.68,2187,6.17,9749,75.0%,52.9%,1564,52.0%,2314,54.2%,3878,53.3%,5882,52.7%,0.6pp
Frilled Deathspitter,R,C,13732,5.74,1569,8.46,5846,63.3%,52.9%,1020,53.1%,1300,53.9%,2320,53.6%,3528,52.5%,1.1pp
Kumena's Awakening,U,R,1039,3.67,251,,883,59.9%,52.9%,153,,235,,388,,500,54.8%,
Raging Regisaur,RG,U,2910,3.55,651,4.36,2609,68.0%,52.7%,456,,630,58.1%,1086,57.3%,1525,49.5%,7.8pp
Highland Lake,,U,4907,5.61,828,8.07,2348,47.0%,52.7%,452,,548,53.3%,1000,51.7%,1353,53.6%,-1.9pp
Pirate's Pillage,R,U,4539,5.34,594,7.56,1818,50.7%,52.7%,305,,400,,705,52.5%,1114,52.9%,-0.4pp
"Ghalta, Primal Hunger",G,R,417,,221,,1078,87.6%,52.7%,181,,279,,460,,625,51.5%,
Protean Raider,UR,R,995,3.58,243,,659,45.4%,52.7%,128,,137,,265,,397,,
Stone Quarry,,U,4747,5.38,767,7.78,2023,44.2%,52.6%,393,,471,,864,53.0%,1159,52.4%,0.6pp
Hardy Veteran,G,C,15749,7.05,2194,9.9,5434,41.3%,52.6%,964,53.6%,1184,52.9%,2148,53.2%,3294,52.2%,1.0pp
Sun-Collared Raptor,R,C,14922,6.74,1607,9.89,3959,41.3%,52.6%,686,52.2%,864,52.9%,1550,52.6%,2410,52.5%,0.1pp
Path of Discovery,G,R,688,2.36,218,,995,77.8%,52.5%,145,,246,,391,,604,52.2%,
Sworn Guardian,U,C,16348,7.81,2125,11.1,3399,26.0%,52.4%,627,50.6%,863,50.3%,1490,50.4%,1921,54.0%,-3.6pp
Traveler's Amulet,,C,15003,5.89,2229,8.4,6049,45.8%,52.4%,1169,51.2%,1447,54.3%,2616,52.9%,3442,51.9%,1.0pp
Imperial Ceratops,W,U,4204,4.98,547,7.47,1557,48.0%,52.2%,262,,416,,678,53.1%,882,51.6%,1.5pp
Shake the Foundations,R,U,4826,6.05,604,8.65,1157,31.6%,52.1%,197,,245,,442,,715,51.0%,
Atzocan Seer,WG,U,3562,4.34,609,5.67,1936,54.6%,52.0%,340,,462,,802,53.5%,1134,51.0%,2.5pp
Gruesome Fate,B,C,16486,8.14,1691,12.17,650,6.2%,51.8%,95,,139,,234,,416,,
Gleaming Barrier,,C,16014,7.23,1582,10.91,2088,22.2%,51.3%,379,,544,51.5%,923,49.8%,1168,52.7%,-2.8pp
Thunderherd Migration,G,U,3969,4.51,578,6.23,2250,65.9%,51.3%,394,,519,49.9%,913,50.9%,1337,51.6%,-0.7pp
Charging Tuskodon,R,U,3137,3.88,481,,1929,65.9%,51.3%,302,,441,,743,53.2%,1187,50.2%,3.0pp
Colossal Dreadmaw,G,C,13639,5.5,1877,7.9,6273,56.3%,51.2%,981,46.9%,1471,55.3%,2452,51.9%,3843,50.8%,1.1pp
Foul Orchard,,U,5059,5.83,882,8.46,1784,34.1%,51.0%,314,,460,,774,49.6%,1010,52.1%,-2.5pp
Tilonalli's Crown,R,C,15177,6.84,1560,10.16,3048,32.9%,50.7%,471,,651,49.3%,1122,48.3%,1926,52.1%,-3.8pp
Orazca Raptor,R,C,16222,8.05,1638,11.91,761,7.8%,50.5%,97,,170,,267,,494,,
Pitiless Plunderer,B,U,4509,5.52,553,8.56,940,27.9%,50.4%,156,,229,,385,,555,49.2%,
Cherished Hatchling,G,U,3820,4.42,609,6.07,2344,65.3%,50.3%,409,,520,47.1%,929,48.0%,1416,51.8%,-3.8pp
Overgrown Armasaur,G,C,14401,6.14,1523,9.06,3976,44.6%,50.2%,596,50.5%,957,49.7%,1553,50.0%,2427,50.2%,-0.2pp
Orazca Relic,,C,16552,7.67,1622,11.6,921,9.4%,50.2%,175,,228,,403,,522,50.2%,
Knight of the Stampede,G,C,13801,6.04,1471,8.9,4048,46.8%,49.9%,666,49.5%,882,49.8%,1548,49.7%,2508,50.0%,-0.3pp
Orazca Frillback,G,C,15988,7.38,1662,11.21,2274,23.0%,49.2%,369,,527,49.0%,896,47.7%,1378,50.1%,-2.5pp
Tomb Robber,B,R,1023,3.42,266,,869,56.3%,49.1%,151,,218,,369,,502,49.8%,
Cacophodon,G,U,4628,5.49,503,8.47,984,33.3%,49.0%,152,,250,,402,,583,48.7%,
Slaughter the Strong,W,R,909,3.28,255,,855,58.0%,48.9%,156,,216,,372,,483,,
Majestic Heliopterus,W,U,4214,5.13,552,7.49,1293,39.9%,48.8%,213,,338,,551,49.7%,743,48.2%,1.5pp
Journey to Eternity,BG,R,737,2.9,239,,763,53.9%,48.6%,113,,196,,309,,457,,
Temple Altisaur,W,R,749,2.71,227,,764,58.5%,48.4%,131,,203,,334,,433,,
Strider Harness,,C,16796,7.93,1670,11.94,915,9.0%,48.0%,152,,201,,353,,562,46.6%,
Form of the Dinosaur,R,R,1168,3.83,246,,611,43.6%,47.8%,99,,131,,230,,381,,
"Nezahal, Primal Tide",U,R,636,2.25,244,,1026,75.1%,47.5%,154,,295,,449,,589,47.7%,
Silverclad Ferocidons,R,R,776,2.78,173,,534,55.2%,46.8%,79,,136,,215,,319,,
Siegehorn Ceratops,WG,R,831,3.11,181,,519,51.0%,45.1%,86,,137,,223,,296,,
Enter the Unknown,G,U,4666,5.54,425,,699,28.0%,43.6%,117,,143,,260,,440,,
Blazing Hope,W,U,5462,7.12,580,10.92,132,3.8%,,25,,28,,53,,79,,
Cleansing Ray,W,C,16495,8.16,1688,12.04,293,2.8%,,37,,82,,119,,174,,
Sphinx's Decree,W,R,1749,5.76,251,,5,0.3%,,1,,0,,1,,4,,
Admiral's Order,U,R,1398,4.55,231,,458,32.3%,,68,,122,,190,,270,,
Crafty Cutpurse,U,R,1375,4.68,199,,186,15.5%,,29,,51,,80,,106,,
Flood of Recollection,U,U,5603,7.46,712,11.08,176,4.1%,,20,,52,,72,,107,,
Induced Amnesia,U,R,1704,5.54,258,,34,2.2%,,6,,7,,13,,22,,
Release to the Wind,U,R,1452,5.21,243,,148,10.4%,,26,,37,,63,,86,,
Timestream Navigator,U,M,384,,105,,428,65.5%,,83,,103,,186,,246,,
Canal Monitor,B,C,17400,8.82,2098,12.46,420,3.3%,,60,,98,,158,,263,,
Dark Inquiry,B,C,16698,8.21,1738,12.25,367,3.4%,,55,,102,,157,,211,,
Dead Man's Chest,B,R,1109,3.99,174,,337,33.8%,,46,,81,,127,,210,,
Mastermind's Acquisition,B,R,1383,4.58,188,,125,11.4%,,19,,41,,60,,67,,
Blood Sun,R,R,1690,5.39,239,,1,0.1%,,0,,0,,0,,1,,
Brass's Bounty,R,R,1727,5.82,258,,23,1.5%,,4,,5,,9,,14,,
Shatter,R,C,16857,9.21,1611,13.37,19,0.2%,,2,,6,,8,,11,,
Naturalize,G,C,16672,8.5,1383,12.93,132,1.6%,,22,,27,,49,,83,,
Plummet,G,C,16758,8.47,1446,12.75,341,4.0%,,53,,81,,134,,209,,
Polyraptor,G,M,312,,102,,387,66.7%,,56,,110,,166,,222,,
World Shaper,G,R,1083,3.85,203,,374,31.0%,,70,,88,,158,,216,,
"Huatli, Radiant Champion",WG,M,231,,101,,436,67.9%,,71,,113,,184,,254,,
Path of Mettle,WR,R,1103,4.23,188,,215,19.7%,,35,,53,,88,,127,,
Storm the Vault,UR,R,1259,4.72,178,,91,8.7%,,21,,19,,40,,51,,
Awakened Amalgam,,R,1598,5.56,231,,40,2.8%,,7,,13,,20,,20,,
Azor's Gateway,,M,432,,99,,241,41.5%,,43,,55,,98,,143,,
Silent Gravestone,,R,1719,5.74,238,,16,1.2%,,1,,1,,2,,14,,
Basilica Bell-Haunt,WB,U,925,3.57,267,,1063,100.0%,60.1%,205,,393,,514,62.3%,548,58.0%,4.2pp
Mass Manipulation,U,R,272,,152,,635,100.0%,60.0%,106,,273,,351,,275,,
Warrant // Warden,WU,R,255,,133,,553,100.0%,59.7%,101,,204,,285,,266,,
"Zegana, Utopian Speaker",UG,R,253,,147,,575,100.0%,59.3%,95,,197,,266,,308,,
Mortify,WB,U,651,2.38,335,,1467,100.0%,59.0%,288,,558,65.2%,756,62.7%,700,54.9%,7.8pp
Sharktocrab,UG,U,829,3.0,353,,1403,100.0%,59.0%,237,,546,65.2%,692,64.2%,706,54.0%,10.2pp
Pestilent Spirit,B,R,253,,133,,595,100.0%,58.8%,102,,203,,263,,330,,
Rix Maadi Reveler,R,R,351,,147,,603,100.0%,58.7%,116,,173,,267,,334,,
Imperious Oligarch,WB,C,3676,4.66,818,5.67,2150,100.0%,58.6%,613,64.4%,1126,60.2%,1257,60.9%,887,55.2%,5.6pp
Growth-Chamber Guardian,G,R,280,,120,,522,100.0%,58.4%,93,,159,,232,,290,,
Essence Capture,U,U,1341,4.74,291,,1122,100.0%,58.2%,191,,411,,566,60.8%,551,55.9%,4.9pp
Dead Revels,B,C,4784,6.47,916,8.23,2650,100.0%,58.2%,468,,864,57.8%,1247,57.7%,1401,58.5%,-0.9pp
Twilight Panther,W,C,4994,7.08,681,9.81,1459,100.0%,57.6%,317,,526,56.8%,729,57.1%,729,58.2%,-1.1pp
Orzhov Racketeers,B,U,1438,5.16,224,,634,100.0%,57.6%,105,,204,,281,,349,,
Hero of Precinct One,W,R,228,,114,,552,100.0%,57.4%,103,,199,,281,,262,,
Ethereal Absolution,WB,R,192,,164,,732,100.0%,57.4%,132,,243,,369,,362,,
Orzhov Enforcer,B,U,893,3.04,289,,1248,100.0%,57.4%,232,,429,,584,57.9%,658,56.8%,1.0pp
Grotesque Demise,B,C,3040,3.96,912,4.53,2795,100.0%,57.2%,667,56.7%,1141,61.7%,1508,58.0%,1281,56.4%,1.6pp
Pitiless Pontiff,WB,U,1063,4.11,323,,1167,100.0%,57.2%,221,,378,,522,58.6%,640,55.9%,2.7pp
Consecrate // Consume,WB,U,954,3.19,352,,1418,100.0%,57.1%,271,,514,66.9%,712,61.9%,702,52.0%,9.9pp
Ministrant of Obligation,W,U,830,3.08,293,,1189,100.0%,57.1%,229,,422,,570,59.3%,614,55.0%,4.2pp
Growth Spiral,UG,C,4409,6.06,656,8.4,1574,100.0%,56.9%,425,,656,54.6%,866,54.8%,703,59.3%,-4.5pp
Frilled Mystic,UG,U,1082,3.86,299,,1205,100.0%,56.8%,219,,466,,610,62.5%,591,51.1%,11.4pp
Grasping Thrull,WB,C,3061,3.94,846,4.67,2251,100.0%,56.8%,587,57.9%,1272,62.7%,1361,59.4%,883,52.5%,6.9pp
Syndicate Guildmage,WB,U,1275,4.39,251,,920,100.0%,56.7%,168,,326,,448,,467,,
Plague Wight,B,C,4611,6.16,1007,7.3,2482,100.0%,56.7%,669,57.5%,1137,54.9%,1391,56.1%,1088,57.4%,-1.4pp
Bloodmist Infiltrator,B,U,1870,6.7,303,,697,100.0%,56.7%,109,,215,,295,,402,,
Steeple Creeper,G,C,4951,7.01,770,9.24,2032,100.0%,56.6%,450,,810,55.9%,1056,57.5%,974,55.6%,1.8pp
Undercity Scavenger,B,C,5170,7.35,668,9.92,1249,100.0%,56.4%,258,,418,,585,53.7%,658,58.8%,-5.1pp
Bladebrand,B,C,5040,6.94,803,9.32,1942,100.0%,56.4%,429,,624,55.3%,954,53.9%,985,58.9%,-5.0pp
Final Payment,WB,C,3788,4.97,803,6.24,2302,100.0%,56.4%,540,58.3%,959,57.9%,1268,57.2%,1025,55.2%,2.0pp
Impassioned Orator,W,C,4493,5.81,757,7.73,2075,100.0%,56.4%,535,55.7%,944,58.7%,1156,57.6%,913,54.8%,2.8pp
Thrash // Threat,RG,R,303,,136,,547,100.0%,56.3%,89,,144,,232,,315,,
Rakdos Firewheeler,BR,U,1148,4.01,352,,1128,100.0%,56.3%,219,,380,,523,61.4%,605,51.9%,9.5pp
Applied Biomancy,UG,C,4485,6.2,718,7.99,1662,100.0%,56.3%,400,,707,62.7%,932,59.8%,724,51.8%,8.0pp
Trollbred Guardian,G,U,859,2.81,343,,1481,100.0%,56.2%,270,,487,,680,60.7%,798,52.4%,8.4pp
Ill-Gotten Inheritance,B,C,2624,3.72,749,4.05,2418,100.0%,56.2%,563,55.2%,898,57.9%,1264,57.5%,1147,54.8%,2.7pp
Blade Juggler,B,C,3086,3.89,1092,4.22,3060,100.0%,56.2%,742,55.5%,1400,58.1%,1599,56.6%,1454,55.8%,0.8pp
Enraged Ceratok,G,U,1161,4.05,308,,1292,100.0%,56.2%,251,,405,,601,55.9%,689,56.5%,-0.6pp
Footlight Fiend,BR,C,4706,6.17,841,7.88,2175,100.0%,56.2%,573,57.2%,849,54.7%,1141,55.9%,1033,56.4%,-0.5pp
Skitter Eel,U,C,4496,5.93,735,7.91,1910,100.0%,56.2%,424,,792,55.2%,1029,54.7%,871,57.9%,-3.2pp
Precognitive Perception,U,R,300,,153,,680,100.0%,56.2%,115,,282,,347,,332,,
Wilderness Reclamation,G,U,1744,6.65,281,,536,100.0%,56.2%,101,,174,,267,,269,,
Depose // Deploy,WU,U,1164,3.92,391,,1405,100.0%,56.2%,268,,647,63.7%,796,59.5%,600,51.5%,8.0pp
Sphinx of Foresight,U,R,220,,143,,687,100.0%,55.9%,129,,269,,362,,323,,
Spear Spewer,R,C,5449,8.47,626,11.44,585,100.0%,55.7%,147,,194,,289,,296,,
Orzhov Locket,,C,5418,7.89,711,10.77,1252,100.0%,55.7%,254,,423,,631,55.9%,610,55.1%,0.9pp
Fireblade Artist,BR,U,1402,5.07,309,,893,100.0%,55.7%,194,,296,,416,,477,,
Carnival // Carnage,BR,U,1333,4.77,271,,863,100.0%,55.6%,161,,221,,376,,486,,
Aeromunculus,UG,C,3550,4.73,798,5.61,1976,100.0%,55.6%,551,58.4%,991,55.6%,1136,56.4%,831,54.6%,1.8pp
Clan Guildmage,RG,U,1519,5.25,291,,1007,100.0%,55.6%,206,,273,,442,,564,56.6%,
Noxious Groodion,B,C,4971,6.65,674,9.06,1651,100.0%,55.6%,334,,636,53.3%,806,54.6%,839,56.4%,-1.8pp
Rakdos Trumpeter,B,C,4879,7.18,851,9.19,1641,100.0%,55.5%,436,,711,54.4%,904,54.2%,737,57.1%,-2.9pp
Rhythm of the Wild,RG,U,992,4.17,220,,815,100.0%,55.5%,187,,194,,366,,445,,
Arrester's Admonition,U,C,3774,4.68,1121,5.34,3258,100.0%,55.4%,833,54.1%,2062,66.6%,1984,58.1%,1255,51.4%,6.7pp
Sauroform Hybrid,G,C,3373,4.25,1066,4.81,3128,100.0%,55.4%,957,59.1%,1380,53.6%,1765,56.3%,1354,54.3%,2.0pp
Burning-Tree Vandal,R,C,4708,6.46,838,8.53,2333,100.0%,55.4%,565,53.6%,779,56.7%,1130,56.1%,1196,54.8%,1.3pp
Windstorm Drake,U,U,1365,4.82,234,,726,100.0%,55.4%,132,,255,,355,,368,,
Rakdos Roustabout,BR,C,5028,7.32,749,9.49,1279,100.0%,55.4%,346,,609,53.9%,719,54.2%,558,56.8%,-2.6pp
Pteramander,U,U,980,3.61,236,,862,100.0%,55.3%,156,,275,,388,,473,,
Dagger Caster,R,U,1270,4.53,288,,861,100.0%,55.3%,138,,226,,345,,516,52.7%,
Savage Smash,RG,C,3633,4.88,886,5.76,2200,100.0%,55.3%,600,53.8%,838,55.8%,1188,54.5%,1010,56.1%,-1.6pp
Simic Locket,,C,5546,8.11,711,11.2,1275,100.0%,55.2%,230,,415,,600,56.2%,672,54.3%,1.9pp
Orzhov Guildgate,,C,4397,5.41,983,7.19,2795,100.0%,55.2%,708,57.5%,1264,55.8%,1637,55.8%,1145,54.1%,1.6pp
